Timestamp,CPU (%),Mem (MB)
2025-03-26 09:26:59,0.0,0.0
2025-03-26 09:27:00,371.5,1.3
2025-03-26 09:27:01,179.2,1.3
2025-03-26 09:27:02,181.9,2.1
2025-03-26 09:27:03,230.1,2.1
2025-03-26 09:27:04,237.2,2.6
2025-03-26 09:27:05,195.1,2.6
2025-03-26 09:27:06,193.4,2.6
2025-03-26 09:27:07,200.1,2.6
2025-03-26 09:27:08,199.9,2.7
2025-03-26 09:27:09,224.7,3.0
2025-03-26 09:27:10,198.5,3.0
2025-03-26 09:27:11,192.4,3.0
2025-03-26 09:27:12,218.9,3.0
2025-03-26 09:27:13,214.4,3.0
2025-03-26 09:27:14,190.6,3.0
2025-03-26 09:27:15,199.9,3.0
2025-03-26 09:27:16,211.3,3.0
2025-03-26 09:27:17,206.3,3.0
2025-03-26 09:27:18,204.4,3.0
2025-03-26 09:27:19,280.1,5.1
2025-03-26 09:27:20,218.6,6.0
2025-03-26 09:27:21,228.3,6.2
2025-03-26 09:27:22,153.3,6.2
2025-03-26 09:27:23,205.8,6.2
2025-03-26 09:27:25,199.7,6.2
2025-03-26 09:27:26,143.9,6.2
2025-03-26 09:27:27,164.3,6.2
2025-03-26 09:27:28,187.5,6.2
2025-03-26 09:27:29,193.0,6.2
2025-03-26 09:27:30,194.3,6.2
2025-03-26 09:27:31,128.3,6.2
2025-03-26 09:27:32,158.1,6.2
2025-03-26 09:27:33,168.8,6.2
2025-03-26 09:27:34,176.2,6.2
2025-03-26 09:27:35,187.2,6.2
2025-03-26 09:27:36,159.9,6.2
2025-03-26 09:27:37,203.9,6.2
2025-03-26 09:27:38,189.5,6.2
2025-03-26 09:27:39,167.6,6.3
2025-03-26 09:27:40,83.2,6.3
2025-03-26 09:27:41,198.5,6.5
2025-03-26 09:27:42,222.0,6.6
2025-03-26 09:27:43,187.2,6.6
2025-03-26 09:27:44,190.4,6.6
2025-03-26 09:27:45,183.9,6.6
2025-03-26 09:27:46,109.0,6.6
2025-03-26 09:27:47,174.5,6.6
2025-03-26 09:27:48,194.4,6.6
2025-03-26 09:27:49,276.5,8.4
2025-03-26 09:27:50,174.0,9.8
2025-03-26 09:27:51,234.4,9.9
2025-03-26 09:27:52,229.9,10.0
2025-03-26 09:27:53,187.4,10.0
2025-03-26 09:27:54,177.9,10.1
2025-03-26 09:27:55,212.8,11.1
2025-03-26 09:27:56,205.4,12.2
2025-03-26 09:27:57,249.4,12.4
2025-03-26 09:27:59,211.9,12.4
2025-03-26 09:28:00,168.3,12.4
2025-03-26 09:28:01,233.8,12.4
2025-03-26 09:28:02,161.1,12.4
2025-03-26 09:28:03,233.3,12.4
2025-03-26 09:28:04,129.4,12.5
2025-03-26 09:28:05,138.5,12.5
2025-03-26 09:28:06,216.6,12.5
2025-03-26 09:28:07,144.1,12.5
2025-03-26 09:28:08,245.8,12.5
2025-03-26 09:28:09,132.8,12.5
2025-03-26 09:28:10,219.9,12.5
2025-03-26 09:28:11,217.1,12.5
2025-03-26 09:28:12,6.6,12.5
